[base]
code = aa,2012-12-08 10:36:41,sifang,南瑞科技NSR-303N_AH,,,,,00000000,
name = 南瑞以太网103接入规约
doc version = V1.20
tool = 1326 config tool
tool version = V1.10bata
last modified datetime = 2007-4-10 13:13

DIG=内部组号,内部条目号,FUN,INF,SOE标记,s10/11标记,复归模式,事件使能,YxType,描述
ANA=内部组号,内部条目号,Ratio,死区,Group,Entry,Min,Max,Unit,描述
CTRL=内部组号,内部条目号,Group,Entry,描述
RELA_DIG_CTRL=GROUP,ENTRY,YX_GROUP,YX_ENTRY,描述
SET=内部组号,内部条目号,Group,Entry
ZONE=内部组号,内部条目号,Group,Entry
SET_ELEMENT=GROUP,CPU,ZONE,NO,TYPE,MIN/KGBits,MAX,STEP,精度n,精度m,UNIT,描述
KG_SETs=Group,Entry,Cpu,Zone,BitSeqs,Desc
DI_CHANGE=Fun,Inf,ChannelId
ACC=AccNo,通道识别符,通道相位特征,被监视的回路元件,通道单位
EVENT=GROUP,ENTRY,CPU,FUN,INF,TRIGGER,描述
FAULT_PARA=内部组号,内部条目号,CPU,103组号,103条目号,ParaType,FaultType,DataType,MIN,MAX,STEP,精度n,精度m,UNIT,描述
EVT_PARA_GRP=事件参数组号
IED_INFO=OSC_TYPE,DEV_TYPE,SOFT_TYPE
POW=内部组号,内部条目号,Group,Entry,描述
[DIG]
16,1,10,1,1,0,0,0,1,保护启动
16,2,10,2,1,0,0,0,1,重合闸动作
16,3,10,3,1,0,0,0,1,电流差动保护动作
16,4,10,4,1,0,0,0,1,远跳保护动作
16,5,10,5,1,0,0,0,1,工频变化量距离动作
16,6,10,6,1,0,0,0,1,距离Ⅰ段动作
16,7,10,7,1,0,0,0,1,接地距离Ⅱ段动作
16,8,10,8,1,0,0,0,1,相间距离Ⅱ段动作
16,9,10,9,1,0,0,0,1,接地距离Ⅲ段动作
16,10,10,10,1,0,0,0,1,相间距离Ⅲ段动作
16,11,10,11,1,0,0,0,1,距离加速动作
16,12,10,12,1,0,0,0,1,非全相距离加速动作
16,13,10,13,1,0,0,0,1,零序过流Ⅱ段动作
16,14,10,14,1,0,0,0,1,零序过流Ⅲ段动作
16,15,10,15,1,0,0,0,1,零序加速动作
16,16,10,16,1,0,0,0,1,单相运行三跳
16,17,10,17,1,0,0,0,1,单跳失败三跳动作
16,18,10,18,1,0,0,0,1,选相失败三跳动作
16,19,10,19,1,0,0,0,1,PT断线过流动作
16,20,10,20,1,0,0,0,1,过流I段动作
16,21,10,21,1,0,0,0,1,过流II段动作
16,22,10,22,1,0,0,0,1,三相不一致保护动作
16,23,10,23,1,0,0,0,1,手动录波
16,24,10,24,1,0,0,0,1,装置闭锁触发录波
17,1,13,1,1,0,0,0,0,A相跳闸出口传动
17,2,13,2,1,0,0,0,0,B相跳闸出口传动
17,3,13,3,1,0,0,0,0,C相跳闸出口传动
17,4,13,4,1,0,0,0,0,重合闸出口传动
17,5,13,5,1,0,0,0,0,闭重开出出口传动
17,6,13,6,1,0,0,0,0,三相跳闸出口传动
17,7,13,7,1,0,0,0,0,备用出口传动
17,8,13,8,1,0,0,0,0,备用出口传动
17,9,13,9,1,0,0,0,0,备用出口传动
17,10,13,10,1,0,0,0,0,通道告警开出出口传动
17,11,13,11,1,0,0,0,0,备用出口传动
17,12,13,12,1,0,0,0,0,信号复归出口传动
17,13,13,13,1,0,0,0,0,保护检修投入
17,14,13,14,1,0,0,0,0,通道一纵差保护投入
17,15,13,15,1,0,0,0,0,通道二纵差保护投入
17,16,13,16,1,0,0,0,0,距离保护投入
17,17,13,17,1,0,0,0,0,零序保护投入
17,18,13,18,1,0,0,0,0,重合闸方式开入1
17,19,13,19,1,0,0,0,0,重合闸方式开入2
17,20,13,20,1,0,0,0,0,过流保护投入
17,21,13,21,1,0,0,0,0,闭锁重合闸
17,22,13,22,1,0,0,0,0,A相跳闸位置
17,23,13,23,1,0,0,0,0,B相跳闸位置
17,24,13,24,1,0,0,0,0,C相跳闸位置
17,25,13,25,1,0,0,0,0,压力低闭锁重合闸
17,26,13,26,1,0,0,0,0,远方跳闸
17,27,13,27,1,0,0,0,0,远方信号复归
17,28,13,28,1,0,0,0,0,闭锁重合闸开出
17,29,13,29,1,0,0,0,0,重合闸充电完成
17,30,13,30,1,0,0,0,0,收远跳
17,31,13,31,1,0,0,0,0,通道一收远跳
17,32,13,32,1,0,0,0,0,通道二收远跳
17,33,13,33,1,0,0,0,0,对侧通道一差动投入
17,34,13,34,1,0,0,0,0,对侧通道二差动投入
17,35,13,35,1,0,0,0,0,通道一收加速三跳
17,36,13,36,1,0,0,0,0,通道二收加速三跳
17,37,13,37,1,0,0,0,0,通道一纵差保护软压板
17,38,13,38,1,0,0,0,0,通道二纵差保护软压板
17,39,13,39,1,0,0,0,0,距离保护软压板
17,40,13,40,1,0,0,0,0,零序保护软压板
17,41,13,41,1,0,0,0,0,过流保护软压板
17,42,13,42,1,0,0,0,0,停用重合闸软压板
17,43,13,43,1,0,0,0,0,远方修改定值
18,1,12,1,1,0,0,0,6,装置闭锁
18,2,12,2,1,0,0,0,6,装置报警
18,3,12,3,1,0,0,0,6,DSP采样异常告警
18,4,12,4,1,0,0,0,6,CPU采样异常告警
18,5,12,5,1,0,0,0,6,电流双AD不一致告警
18,6,12,6,1,0,0,0,6,保护电压双AD不一致告警
18,7,12,7,1,0,0,0,6,同期电压双AD不一致告警
18,8,12,8,1,0,0,0,6,重合闸控制字异常
18,9,12,9,1,0,0,0,6,定值越界
18,10,12,10,1,0,0,0,6,定值校验出错告警
18,11,12,11,1,0,0,0,6,出口传动测试
18,12,12,12,1,0,0,0,6,FPGA开出异常告警
18,13,12,13,1,0,0,0,6,跳合出口异常告警
18,14,12,14,1,0,0,0,6,光耦电源异常告警
18,15,12,15,1,0,0,0,6,零序长期启动告警
18,16,12,16,1,0,0,0,6,装置长期启动告警
18,17,12,17,1,0,0,0,6,跳闸位置异常告警
18,18,12,18,1,0,0,0,6,PT断线告警
18,19,12,19,1,0,0,0,6,CT断线告警
18,20,12,20,1,0,0,0,6,同期电压异常
18,21,12,21,1,0,0,0,6,远跳异常
18,22,12,22,1,0,0,0,6,通道自环设置告警
18,23,12,23,1,0,0,0,6,本侧CT断线告警
18,24,12,24,1,0,0,0,6,对侧CT断线告警
18,25,12,25,1,0,0,0,6,通道一补偿参数错
18,26,12,26,1,0,0,0,6,通道一长期有差流
18,27,12,27,1,0,0,0,6,通道一两侧纵差投入不一致
18,28,12,28,1,0,0,0,6,通道一识别码接收错
18,29,12,29,1,0,0,0,6,通道一异常
18,30,12,30,1,0,0,0,6,通道一无有效帧
18,31,12,31,1,0,0,0,6,通道一差动退出
18,32,12,32,1,0,0,0,6,通道一严重误码
18,33,12,33,1,0,0,0,6,通道一连接错误
18,34,12,34,1,0,0,0,6,通道一应用层校验错
18,35,12,35,1,0,0,0,6,通道一延时越界
18,36,12,36,1,0,0,0,6,通道一光端机通信异常
18,37,12,37,1,0,0,0,6,通道二补偿参数错
18,38,12,38,1,0,0,0,6,通道二长期有差流
18,39,12,39,1,0,0,0,6,通道二两侧纵差投入不一致
18,40,12,40,1,0,0,0,6,通道二识别码接收错
18,41,12,41,1,0,0,0,6,通道二异常
18,42,12,42,1,0,0,0,6,通道二无有效帧
18,43,12,43,1,0,0,0,6,通道二差动退出
18,44,12,44,1,0,0,0,6,通道二严重误码
18,45,12,45,1,0,0,0,6,通道二连接错误
18,46,12,46,1,0,0,0,6,通道二应用层校验错
18,47,12,47,1,0,0,0,6,通道二延时越界
18,48,12,48,1,0,0,0,6,通道二光端机通信异常
19,1,27,1,1,0,0,0,6,装置闭锁
19,2,27,2,1,0,0,0,6,装置报警
19,3,27,3,1,0,0,0,6,DSP采样异常告警
19,4,27,4,1,0,0,0,6,CPU采样异常告警
19,5,27,5,1,0,0,0,6,电流双AD不一致告警
19,6,27,6,1,0,0,0,6,保护电压双AD不一致告警
19,7,27,7,1,0,0,0,6,同期电压双AD不一致告警
19,8,27,8,1,0,0,0,6,重合闸控制字异常
19,9,27,9,1,0,0,0,6,定值越界
