[base]
code = BJ,2010-11-11 14:31:25,sifang,CSC_103,,,,,00000000,
name = 61850接入规约
doc version = v1.40
tool = 1326 config tool
tool version = v1.10
last modified datetime = 2007-1-9 14:27

DIG=内部组号,内部条目号,Type,61850编号,数据类型,sfaddr,YxType,描述
ANA=内部组号,内部条目号,Ratio1,死区1,61850编号,数据类型,sfaddr,Min,Max,Unit,描述
CTRL=内部组号,内部条目号,61850编号,是否直控,数据类型,sfaddr,描述
SET=内部组号,内部条目号,Cpu号/定值表号,定值区号
ZONE=内部组号,内部条目号,Cpu号/定值表号,定值区号
SET_ELEMENT=GROUP,CPU,ZONE,NO,TYPE,MIN/KGBits,MAX,STEP,精度n,精度m,UNIT,描述
KG_SETs=Group,Entry,Cpu,Zone,BitSeqs,Desc
EVENT=内部组号,内部条目号,61850编号,对应遥信内部组号,对应遥信内部条目号,61850编号,数据类型,描述
FAULT_PARA=GROUP,ENTRY,CPU,103组号,103条目号,ParaType,DataType,MIN,MAX,STEP,精度n,精度m,UNIT,描述
SETPOINT=内部组号,内部条目号,61850编号,是否直控,数据类型,sfaddr,描述
[DIG]
16,1,0,280,BOOLEAN,010102,0,1CSC103I类告警总
16,2,0,281,BOOLEAN,010103,0,1CSC103II类告警总
16,3,1,282,BOOLEAN,fe0001,4,1CSC103模拟量采集错
16,4,1,283,BOOLEAN,fe0003,4,1CSC103设备参数错
16,5,1,284,BOOLEAN,fe0004,4,1CSC103ROM和校验错
16,6,1,285,BOOLEAN,fe0005,4,1CSC103定值错
16,7,1,286,BOOLEAN,fe0006,4,1CSC103定值区指针错
16,8,1,287,BOOLEAN,fe0007,4,1CSC103开出不响应
16,9,1,288,BOOLEAN,fe0008,4,1CSC103开出击穿
16,10,1,289,BOOLEAN,fe0009,4,1CSC103SRAM自检异常
16,11,1,290,BOOLEAN,fe000a,4,1CSC103FLASH自检异常
16,12,1,291,BOOLEAN,fe000b,4,1CSC103低气压开入告警
16,13,1,292,BOOLEAN,fe000c,4,1CSC103通道检修差动退出
16,14,1,293,BOOLEAN,fe000d,4,1CSC103电流不平衡告警
16,15,1,294,BOOLEAN,fe000e,4,1CSC103软压板错
16,16,1,295,BOOLEAN,fe000f,4,1CSC103系统配置错
16,17,1,296,BOOLEAN,fe0010,4,1CSC103闭锁三相不一致
16,18,1,297,BOOLEAN,fe0011,4,1CSC103不一致动作失败
16,19,1,298,BOOLEAN,fe0014,4,1CSC103开入配置错
16,20,1,299,BOOLEAN,fe0015,4,1CSC103开出配置错
16,21,1,300,BOOLEAN,fe0016,4,1CSC103开入通讯中断
16,22,1,301,BOOLEAN,fe0017,4,1CSC103开出通讯中断
16,23,1,302,BOOLEAN,fe0018,4,1CSC103传动状态未复归
16,24,1,303,BOOLEAN,fe001a,4,1CSC103开入击穿
16,25,1,304,BOOLEAN,fe001b,4,1CSC103开入输入不正常
16,26,1,305,BOOLEAN,fe001c,4,1CSC103双位置输入不一致
16,27,1,306,BOOLEAN,fe001d,4,1CSC103开入自检回路出错
16,28,1,307,BOOLEAN,fe001e,4,1CSC103开入EEPROM出错
16,29,1,308,BOOLEAN,fe001f,4,1CSC103开出EEPROM出错
16,30,1,309,BOOLEAN,fe0020,4,1CSC103PT断线告警
16,31,1,310,BOOLEAN,fe0022,4,1CSC103过负荷告警
16,32,1,311,BOOLEAN,fe0028,4,1CSC103CT断线告警
16,33,1,312,BOOLEAN,fe0029,4,1CSC103跳位A开入异常
16,34,1,313,BOOLEAN,fe002a,4,1CSC103跳位B开入异常
16,35,1,314,BOOLEAN,fe002b,4,1CSC103跳位C开入异常
16,36,1,315,BOOLEAN,fe002d,4,1CSC103检同期电压异常
16,37,1,316,BOOLEAN,fe002e,4,1CSC103本侧CT断线
16,38,1,317,BOOLEAN,fe002f,4,1CSC103对侧CT断线
16,39,1,318,BOOLEAN,fe0030,4,1CSC103长期有差流
16,40,1,319,BOOLEAN,fe0031,4,1CSC103同步方式设置出错
16,41,1,320,BOOLEAN,fe0032,4,1CSC103通道A环回错
16,42,1,321,BOOLEAN,fe0033,4,1CSC103通道B环回错
16,43,1,322,BOOLEAN,fe0034,4,1CSC103通道A通信中断
16,44,1,323,BOOLEAN,fe0035,4,1CSC103通道B通信中断
16,45,1,324,BOOLEAN,fe0036,4,1CSC103通道A无采样报文
16,46,1,325,BOOLEAN,fe0037,4,1CSC103通道B无采样报文
16,47,1,326,BOOLEAN,fe0038,4,1CSC103远方跳闸开入异常
16,48,1,327,BOOLEAN,fe0039,4,1CSC103三相相序不对应
16,49,1,328,BOOLEAN,fe003a,4,1CSC103模拟通道异常
16,50,1,329,BOOLEAN,fe003d,4,1CSC103外接3I0接反
16,51,1,330,BOOLEAN,fe003e,4,1CSC103保护永跳失败
16,52,1,331,BOOLEAN,fe003f,4,1CSC1033次谐波过量告警
16,53,1,332,BOOLEAN,fe0040,4,1CSC103通道环回长期投入
16,54,1,333,BOOLEAN,fe0042,4,1CSC103重合闸控制字错
16,55,1,334,BOOLEAN,fe0043,4,1CSC103差动压板不一致
16,56,1,335,BOOLEAN,fe0045,4,1CSC103纵联保护地址错A
16,57,1,336,BOOLEAN,fe0046,4,1CSC103纵联保护地址错B
16,58,1,337,BOOLEAN,fe0047,4,1CSC103通道AB交叉接错
16,59,1,338,BOOLEAN,fe0048,4,1CSC103对侧通信异常
16,60,1,339,BOOLEAN,fe0049,4,1CSC103工作于调试定值区
16,61,1,340,BOOLEAN,010101,4,1CSC103异常
16,62,1,341,BOOLEAN,010102,4,1CSC103装置参数不一致
16,63,1,342,BOOLEAN,010103,4,1CSC103定值区号不一致
16,64,1,343,BOOLEAN,010104,4,1CSC103定值不一致
16,65,1,344,BOOLEAN,010105,4,1CSC103压板不一致
16,66,1,345,BOOLEAN,010106,4,1CSC103LON1通讯中断
16,67,1,346,BOOLEAN,010107,4,1CSC103LON2通讯中断
16,68,1,347,BOOLEAN,010109,4,1CSC103压板模式不一致
16,69,1,348,BOOLEAN,01010a,4,1CSC103召唤配置无应答
16,70,1,349,BOOLEAN,01010b,4,1CSC103PLC逻辑校验出错
16,71,1,350,BOOLEAN,01010c,4,1CSC103GOOSE通信中断
16,72,1,351,BOOLEAN,01010d,4,1CSC103GOOSE通信恢复
16,73,1,352,BOOLEAN,01010e,4,1CSC103GPS对时异常
16,74,1,353,BOOLEAN,01010f,4,1CSC103GPS对时恢复正常
16,75,0,354,BOOLEAN,010000,0,1CSC103信号复归
16,76,0,355,BOOLEAN,010001,0,1CSC103分相跳闸位置TWJA
16,77,0,356,BOOLEAN,010002,0,1CSC103分相跳闸位置TWJB
16,78,0,357,BOOLEAN,010003,0,1CSC103分相跳闸位置TWJC
16,79,0,358,BOOLEAN,010004,0,1CSC103闭锁重合闸
16,80,0,359,BOOLEAN,010005,0,1CSC103三跳启动重合
16,81,0,360,BOOLEAN,010006,0,1CSC103单跳启动重合
16,82,0,361,BOOLEAN,010007,0,1CSC103远传1
16,83,0,362,BOOLEAN,010008,0,1CSC103远传2
16,84,0,363,BOOLEAN,010009,0,1CSC103远方跳闸
16,85,0,364,BOOLEAN,01000a,0,1CSC103低气压闭锁重合闸
16,86,0,365,BOOLEAN,01000b,0,1CSC103通道A检修
16,87,0,366,BOOLEAN,01000c,0,1CSC103通道B检修
16,88,0,367,BOOLEAN,01000d,0,1CSC103差动保护
16,89,0,368,BOOLEAN,01000e,0,1CSC103重合闸停用
16,90,0,369,BOOLEAN,01000f,0,1CSC103保护检修状态
16,91,0,370,BOOLEAN,040002,2,1CSC103纵联差动保护
16,92,0,371,BOOLEAN,040003,2,1CSC103停用重合闸
16,93,0,372,BOOLEAN,040004,0,1CSC103远方修改定值
16,94,0,373,BOOLEAN,040005,2,1CSC103保护检修状态
16,95,2,374,ACT,010101,1,1CSC103保护动作
16,96,2,375,ACT,fe0001,1,1CSC103保护启动
16,97,2,376,ACT,fe0002,1,1CSC103阻抗元件启动
16,98,2,377,ACT,fe0068,1,1CSC103三相不一致启动
16,99,2,378,ACT,fe0003,1,1CSC103零序辅助启动
16,100,2,379,ACT,fe0004,1,1CSC103静稳失稳启动
16,101,2,380,ACT,fe000c,1,1CSC103保护三跳失败
16,102,2,381,ACT,fe000d,1,1CSC103保护单跳失败
16,103,2,382,ACT,fe0010,1,1CSC103故障测距
16,104,2,383,ACT,fe001b,1,1CSC103零序手合加速动作
16,105,2,384,ACT,fe0036,1,1CSC103零序差动动作
