[base]
code = sf,2011-08-25 17:48:05,1,Template,,,,,00000000,
name = 61850接入规约
doc version = v1.40
tool = 1326 config tool
tool version = v1.10
last modified datetime = 2007-1-9 14:27

DIG=内部组号,内部条目号,Type,61850编号,数据类型,sfaddr,YxType,描述
ANA=内部组号,内部条目号,Ratio1,死区1,61850编号,数据类型,sfaddr,Min,Max,Unit,描述
CTRL=内部组号,内部条目号,61850编号,是否直控,数据类型,sfaddr,描述
RELA_DIG_CTRL=GROUP,ENTRY,YX_GROUP,YX_ENTRY,描述
SET=内部组号,内部条目号,Cpu号/定值表号,定值区号
ZONE=内部组号,内部条目号,Cpu号/定值表号,定值区号
SET_ELEMENT=GROUP,CPU,ZONE,NO,TYPE,MIN/KGBits,MAX,STEP,精度n,精度m,UNIT,描述
KG_SETs=Group,Entry,Cpu,Zone,BitSeqs,Desc
EVENT=内部组号,内部条目号,61850编号,对应遥信内部组号,对应遥信内部条目号,61850编号,数据类型,描述
FAULT_PARA=GROUP,ENTRY,CPU,103组号,103条目号,ParaType,DataType,MIN,MAX,STEP,精度n,精度m,UNIT,描述
SETPOINT=内部组号,内部条目号,61850编号,是否直控,数据类型,sfaddr,描述
[DIG]
16,1,1,181,BOOLEAN,fe0001,4,LINE2CSC326C模拟量采集错
16,2,1,182,BOOLEAN,fe0002,4,LINE2CSC326C跳闸失败
16,3,1,183,BOOLEAN,fe0003,4,LINE2CSC326C压板模式未确认
16,4,1,184,BOOLEAN,fe0004,4,LINE2CSC326CROM和校验错
16,5,1,185,BOOLEAN,fe0005,4,LINE2CSC326C定值错
16,6,1,186,BOOLEAN,fe0006,4,LINE2CSC326C定值区指针错
16,7,1,187,BOOLEAN,fe0007,4,LINE2CSC326C开出不响应
16,8,1,188,BOOLEAN,fe0008,4,LINE2CSC326C开出击穿
16,9,1,189,BOOLEAN,fe0009,4,LINE2CSC326C开入击穿
16,10,1,190,BOOLEAN,fe000a,4,LINE2CSC326C开入输入不正常
16,11,1,191,BOOLEAN,fe000b,4,LINE2CSC326C双位置输入不一致
16,12,1,192,BOOLEAN,fe000c,4,LINE2CSC326C设备参数错
16,13,1,193,BOOLEAN,fe000d,4,LINE2CSC326C开入异常
16,14,1,194,BOOLEAN,fe000e,4,LINE2CSC326C软压板错
16,15,1,195,BOOLEAN,fe000f,4,LINE2CSC326C系统配置错
16,16,1,196,BOOLEAN,fe0010,4,LINE2CSC326CCAN通讯中断
16,17,1,197,BOOLEAN,fe0011,4,LINE2CSC326CCAN通讯恢复
16,18,1,198,BOOLEAN,fe0012,4,LINE2CSC326C开入模件异常
16,19,1,199,BOOLEAN,fe0013,4,LINE2CSC326C开出模件异常
16,20,1,200,BOOLEAN,fe0014,4,LINE2CSC326C开入配置错
16,21,1,201,BOOLEAN,fe0015,4,LINE2CSC326C开出配置错
16,22,1,202,BOOLEAN,fe0016,4,LINE2CSC326C开入通讯中断
16,23,1,203,BOOLEAN,fe0017,4,LINE2CSC326C开出通讯中断
16,24,1,204,BOOLEAN,fe0018,4,LINE2CSC326C传动状态未复归
16,25,1,205,BOOLEAN,fe0019,4,LINE2CSC326C开入自检回路出错
16,26,1,206,BOOLEAN,fe001a,4,LINE2CSC326C开入EEPROM出错
16,27,1,207,BOOLEAN,fe001b,4,LINE2CSC326C开出EEPROM出错
16,28,1,208,BOOLEAN,fe001c,4,LINE2CSC326CSRAM自检异常
16,29,1,209,BOOLEAN,fe001d,4,LINE2CSC326CFLASH自检异常
16,30,1,210,BOOLEAN,fe001e,4,LINE2CSC326C分相差动A相
16,31,1,211,BOOLEAN,fe001f,4,LINE2CSC326C分相差动B相
16,32,1,212,BOOLEAN,fe0020,4,LINE2CSC326C分相差动C相
16,33,1,213,BOOLEAN,fe0021,4,LINE2CSC326C分相差动速断A相
16,34,1,214,BOOLEAN,fe0022,4,LINE2CSC326C分相差动速断B相
16,35,1,215,BOOLEAN,fe0023,4,LINE2CSC326C分相差动速断C相
16,36,1,216,BOOLEAN,fe0024,4,LINE2CSC326C低小区差动A相
16,37,1,217,BOOLEAN,fe0025,4,LINE2CSC326C低小区差动B相
16,38,1,218,BOOLEAN,fe0026,4,LINE2CSC326C低小区差动C相
16,39,1,219,BOOLEAN,fe0027,4,LINE2CSC326C分差变化量A相
16,40,1,220,BOOLEAN,fe0028,4,LINE2CSC326C分差变化量B相
16,41,1,221,BOOLEAN,fe0029,4,LINE2CSC326C分差变化量C相
16,42,1,222,BOOLEAN,fe002a,4,LINE2CSC326C纵差差流越限
16,43,1,223,BOOLEAN,fe002b,4,LINE2CSC326C分相差动差流越限
16,44,1,224,BOOLEAN,fe002c,4,LINE2CSC326C小区差动差流越限
16,45,1,225,BOOLEAN,fe002d,4,LINE2CSC326C分侧差动差流越限
16,46,1,226,BOOLEAN,fe002e,4,LINE2CSC326C高压1侧CT断线
16,47,1,227,BOOLEAN,fe002f,4,LINE2CSC326C高压2侧CT断线
16,48,1,228,BOOLEAN,fe0030,4,LINE2CSC326C中压侧CT断线
16,49,1,229,BOOLEAN,fe0032,4,LINE2CSC326C低压侧套管CT断线
16,50,1,230,BOOLEAN,fe0033,4,LINE2CSC326C低压1分支CT断线
16,51,1,231,BOOLEAN,fe0034,4,LINE2CSC326C低压2分支CT断线
16,52,1,232,BOOLEAN,fe0035,4,LINE2CSC326C公共绕组CT断线
16,53,1,233,BOOLEAN,fe0036,4,LINE2CSC326C高零序反时限告警
16,54,1,234,BOOLEAN,fe0037,4,LINE2CSC326C高压侧PT断线
16,55,1,235,BOOLEAN,fe0038,4,LINE2CSC326C高压侧过负荷
16,56,1,236,BOOLEAN,fe0039,4,LINE2CSC326C启动通风I段
16,57,1,237,BOOLEAN,fe003a,4,LINE2CSC326C启动通风II段
16,58,1,238,BOOLEAN,fe003b,4,LINE2CSC326C闭锁调压
16,59,1,239,BOOLEAN,fe003c,4,LINE2CSC326C定时限过激磁告警
16,60,1,240,BOOLEAN,fe003d,4,LINE2CSC326C反时限过激磁告警
16,61,1,241,BOOLEAN,fe003f,4,LINE2CSC326C中压侧PT断线
16,62,1,242,BOOLEAN,fe0040,4,LINE2CSC326C中压侧过负荷
16,63,1,243,BOOLEAN,fe0041,4,LINE2CSC326C低压绕组过负荷
16,64,1,244,BOOLEAN,fe0042,4,LINE2CSC326C低压1分支PT断线
16,65,1,245,BOOLEAN,fe0043,4,LINE2CSC326C低压侧过负荷
16,66,1,246,BOOLEAN,fe0044,4,LINE2CSC326C低压1分支零压
16,67,1,247,BOOLEAN,fe0045,4,LINE2CSC326C低压2分支PT断线
16,68,1,248,BOOLEAN,fe0046,4,LINE2CSC326C低压2分支零压
16,69,1,249,BOOLEAN,fe0047,4,LINE2CSC326C公零序反时限告警
16,70,1,250,BOOLEAN,fe0048,4,LINE2CSC326C公共绕组过负荷
16,71,1,251,BOOLEAN,fe0049,4,LINE2CSC326C公共零序过流告警
16,72,1,252,BOOLEAN,fe004a,4,LINE2CSC326C差动定值超范围
16,73,1,253,BOOLEAN,fe004b,4,LINE2CSC326C电流零漂越限告警
16,74,1,254,BOOLEAN,fe004c,4,LINE2CSC326C低压1分支CT异常
16,75,1,255,BOOLEAN,fe004d,4,LINE2CSC326C低压2分支CT异常
16,76,1,256,BOOLEAN,fe004e,4,LINE2CSC326C低压侧套管CT异常
16,77,1,257,BOOLEAN,fe004f,4,LINE2CSC326C高压侧套管CT异常
16,78,1,258,BOOLEAN,fe0050,4,LINE2CSC326C公共绕组CT异常
16,79,1,259,BOOLEAN,010101,4,LINE2CSC326C异常
16,80,1,260,BOOLEAN,010103,4,LINE2CSC326C定值区号不一致
16,81,1,261,BOOLEAN,010104,4,LINE2CSC326C定值不一致
16,82,1,262,BOOLEAN,010105,4,LINE2CSC326C压板不一致
16,83,1,263,BOOLEAN,010106,4,LINE2CSC326CLON1通讯中断
16,84,1,264,BOOLEAN,010107,4,LINE2CSC326CLON2通讯中断
16,85,1,265,BOOLEAN,010109,4,LINE2CSC326C压板模式不一致
16,86,1,266,BOOLEAN,01010a,4,LINE2CSC326C召唤配置无应答
16,87,1,267,BOOLEAN,01010b,4,LINE2CSC326CPLC逻辑校验出错
16,88,1,268,BOOLEAN,01010e,4,LINE2CSC326CGPS对时异常
16,89,1,269,BOOLEAN,01010f,4,LINE2CSC326CGPS对时恢复正常
16,90,0,270,BOOLEAN,010000,0,LINE2CSC326C信号复归
17,1,0,271,BOOLEAN,040001,2,LINE2CSC326C差动保护
